station,city,longitude,latitude
潼南,潼南,105.88475102842312,30.224999456907216
泰宁,三明,117.15962089051298,26.93254444495509
铜仁,铜仁,109.21029804541057,27.7463597337572
铜仁南,铜仁,108.98211901374368,27.285156956155824
唐山北,唐山,118.12592158575575,39.82266594629108
泰山,泰安,117.11634144513746,36.19351792336668
唐山,唐山,118.12497719717312,39.63124582782932
天水,天水,105.90500997360634,34.571295966173246
天水南,天水,105.86206495158248,34.555487351053685
汤旺河,伊春,129.58746418978086,48.461275559933796
汤逊湖,武汉,114.39192880984862,30.45146390277752
土溪,达州,107.06763900531767,31.02123082792427
通远堡,丹东,123.9333653789017,40.792726137329325
太阳升,大庆,124.5929520288799,45.945286787991655
通榆,白城,123.0828053457624,44.81054687138528
桐梓北,遵义,106.83811600632174,28.391410986990696
太子城,张家口,115.45563299968344,40.91941498328801
滕州东,枣庄,117.26322679263491,35.09695588285214
桐梓东,遵义,106.84316196803073,28.120495033640086
台州,台州,121.37917494755256,28.6587033101135
泰州,泰州,119.98692799551664,32.53524604299877
通州,北京,116.67175702281949,39.90355507811356
台州西,台州,121.29661240680217,28.691911428619914
通州西,北京,116.6335220860761,39.910778577025006
文昌,文昌,110.74398779802755,19.612367754761387
武昌,武汉,114.32417804374599,30.53427227078553
五常,哈尔滨,127.14951622506454,44.92681742471456
潍坊,潍坊,119.10499805600227,36.70318944667804
瓦房店,大连,122.01485699615831,39.631755066897576
瓦房店西,大连,121.84475009190574,39.662972864133266
王岗,哈尔滨,126.55210011222917,45.67676814124544
武功,咸阳,108.21148437898482,34.26385229853632
威海,威海,122.1504430077985,37.43287099242866
乌海,乌海,106.81230419800879,39.67634782818685
苇河,哈尔滨,128.3868747531676,44.95880488489558
芜湖,芜湖,118.39869196403001,31.35427086123327
乌海西,乌海,106.74417347423223,39.461139458798584
苇河西,哈尔滨,128.37074001841125,44.939563799751795
温江,成都,103.82092304468618,30.641124857511585
五家,哈尔滨,126.39983005201232,45.5502695979859
五棵树,长春,126.16711440748118,44.807146908010544
乌兰察布,乌兰察布,113.1662078040705,40.97028845943822
万乐,哈尔滨,126.46977095122246,45.8918407275198
温岭,台州,121.33127577065699,28.485403551540646
武隆,武隆,107.7776655066995,29.334259882084805
乌拉特前旗,巴彦淖尔,108.6573470900435,40.7179436521899
乌兰浩特,兴安,122.0701543380335,46.0903631727767
渭南,渭南,109.50039333657516,34.49026007325084
渭南北,渭南,109.48785802216673,34.54118201347575
五女山,本溪,125.33409145382986,41.28466858622829
渭南西,渭南,109.44707099946947,34.48489003171414
武清,天津,117.02289799920909,39.37900509874352
武胜,广安,106.11302267546344,30.37565298279549
威舍,兴义,104.74992975072715,25.28653980903007
乌审旗,鄂尔多斯,108.88261004243927,38.550390110864825
乌苏,塔城,84.72426014724387,44.41486300177256
武威,武威,102.63057041849537,37.90963458858818
武威南,武威,102.74420786211859,37.821482122848735
无为南,芜湖,117.9360680399523,31.16081685044252
武穴北,武穴,115.5759119599976,29.858079602902382
无锡东,无锡,120.4665862174884,31.603107299342987
无锡,无锡,120.31213893420798,31.592811049256888
武穴,武穴,115.64451007210835,29.974845113196867
闻喜西,运城,111.18670483652181,35.34203823361749
武夷山北,南平,118.0512460614409,27.78339768053306
五营,伊春,129.2437652253865,48.11854810794264
乌伊岭,伊春,129.4406327406131,48.59821484972779
武夷山,南平,118.0370398987886,27.735285425707534
渭源,定西,104.23468103546266,35.10211892465775
婺源,上饶,117.88349595157972,29.24530769238183
万源,达州,108.04841902213332,32.09089864202869
万州北,万州,108.37423766450216,30.869672851893593
梧州,梧州,111.24713679874957,23.49329018096718
万州,万州,108.4062369237175,30.760313030589426
吴忠,吴忠,106.25626404665965,37.981685393030794
温州,温州,120.69160939518711,27.986038512447568
梧州南,梧州,111.22892248674363,23.399759673819496
温州南,温州,120.5918234632385,27.972027553012406
兴安北,桂林,110.67310071364757,25.679602122931072
雄安,保定,116.16611010379964,39.06303263408676
西安西,西安,108.92529832874838,34.281358188460686
许昌东,许昌,113.89370707895637,34.05456639679087
兴城,葫芦岛,120.70838176415091,40.63069613010711
宣城,宣城,118.7816962860113,30.954214763670574
许昌,许昌,113.82739174078492,34.02529410607452
西昌西,西昌,102.169528938566,27.873346863355636
新都东,成都,104.20088363810801,30.80555031710573
香坊,哈尔滨,126.6860774383629,45.72671063084407
咸丰,恩施,109.06741500832949,29.602556981072507
西丰,铁岭,124.71384302971349,42.74046291596578
息烽,贵阳,106.75436949890958,27.083437839202166
先锋,长沙,112.99824603896067,28.07933898409903
湘府路,长沙,113.08755916595523,28.251818487944462
轩岗,忻州,112.43796886442772,38.900469635698265
孝感北,孝感,114.227087297786,31.592224874190663
孝感东,孝感,113.95558451841687,30.939138790448595
香港西九龙,香港,108.37680797316938,22.876405997147085
兴国,赣州,115.3252730448249,26.335919972604845
西固,兰州,103.61234512900221,36.10927497280937
宣汉,达州,107.66523045769193,31.54796709680702
兴和北,乌兰察布,113.84885100179058,40.89800595903075
下花园北,张家口,115.30624703913789,40.508587036327576
新化南,娄底,111.16641901819386,27.66222686850078
新会,江门,113.07743157980853,22.52356308562583
新晃西,怀化,109.13257449677972,27.385687345636413
新津,成都,103.87753326978894,30.471113455433763
辛集,石家庄,115.22176841270745,37.910917938033585
小金口,惠州,114.42278223994353,23.157401726289038
新津南,成都,103.86359767675154,30.35466912348692
辛集南,石家庄,115.21816791439291,37.89006062352356
西来,成都,103.52297702568094,30.316032013072032
仙林,南京,118.91939115966669,32.129105192572695
小岭,哈尔滨,127.32726778934575,45.340802942542055
锡林浩特,锡林郭勒,116.03401490737124,43.925447213055925
兴隆县,承德,117.52073343317527,40.44285686493636
兴隆镇,哈尔滨,127.12739041167741,46.44932261544228
厦门北,厦门,118.08629650513984,24.483574223267638
新民北,沈阳,122.81144701391926,42.0302918997305
厦门,厦门,118.08629650513984,24.483574223267638
新民,沈阳,122.82304898890283,42.00670691251741
咸宁南,咸宁,114.31260749460601,29.84247576789616
溆浦南,怀化,110.5991407057801,27.610793964485193
霞浦,宁德,120.03933988324698,26.91550401596451
溆浦,怀化,110.58472595658844,27.93170596172863
犀浦,成都,103.97910907549914,30.762946951110816
秀山,秀山,109.02243703112086,28.451505991706465
小市,本溪,124.12921457500096,41.31720911022099
