start_station_id,end_station_id,running_time,train_no
680,1514,13,G5365
487,1638,13,G546
1841,532,13,G3668
81,2191,13,D3509
887,1998,13,G7686
2333,2330,13,G2381
1975,1128,13,G1156
1363,1975,13,G1156
2174,424,13,D2120
1274,70,13,G3492
2269,1594,13,K8722
1928,1402,13,G1067
1223,1561,13,G2045
1467,1036,13,G7592
2403,2402,13,S1203
1019,1016,13,D3582
2402,2400,13,S1203
1303,1978,13,K22
1404,1172,13,G2189
2211,2212,13,K286
1601,336,13,D2308
2252,171,13,G2259
1781,316,13,D875
1550,1785,13,D2916
1000,2179,13,G1028
492,1333,13,G5293
1614,1548,13,G1030
680,1678,13,G5554
1199,413,13,G769
1875,376,13,D9674
8,625,13,G3471
1328,1323,13,G8552
930,2178,13,G479
297,816,13,G2205
1393,794,13,G3531
2262,2012,13,D2581
806,1919,13,D2582
2269,1248,13,G2363
1626,424,13,D2181
2135,619,13,D2502
2089,1449,13,G1042
458,1513,13,G7652
2094,1826,13,D2872
398,1563,13,G5042
1084,1800,13,G584
1138,2204,13,G2068
1089,1744,13,G5877
1365,491,13,D2415
1520,1248,13,G5002
1547,1896,13,G207
690,632,13,D3165
719,718,13,K232
1630,1374,13,D3272
25,198,13,D3344
39,38,13,G7572
1110,366,13,G2090
1951,2157,13,C7659
1934,2305,13,C7661
2155,1150,13,T331
904,905,13,D6323
2074,1491,13,D8092
2313,1881,13,C512
1715,1608,13,C7464
656,2021,13,C7464
1929,247,13,C7472
1425,1413,13,C506
1023,1750,13,C478
1704,2277,13,G7998
1882,914,13,C761
942,2017,13,D3968
915,1567,13,G8270
2412,204,13,S8054
1467,530,13,G7086
209,1400,13,C7591
588,770,13,G7063
752,747,13,D6548
1254,1488,13,C317
876,2010,13,D136
1617,1488,13,C306
1513,2242,13,G1878
303,1039,13,C3388
1309,1446,13,C6852
938,851,13,K804
356,1780,13,G9286
538,1242,13,G1321
958,1872,13,C7028
1454,1799,13,K7106
28,666,13,C6365
19,816,13,C6342
77,726,13,D5886
995,349,13,D5580
2382,755,13,K7108
1397,1421,13,S911
390,524,13,C6307
59,1099,13,C635
448,1431,13,K7054
819,1708,13,C6317
2407,126,13,S911
872,1040,13,K7231
2349,2339,13,C65
2338,2342,13,C67
1447,2218,13,C6860
1961,1983,13,C6870
1481,1961,13,C6874
364,480,13,C5806
1772,1979,13,G3152
170,28,13,C5825
708,405,13,C5819
1489,1123,13,C5220
1170,96,13,C5562
115,9,13,G7041
1758,525,13,K1227
1718,2042,13,D5371
804,159,13,C6059
115,11,13,G1466
14,1052,13,C2034
698,2029,13,G1262
1367,1412,13,K5115
2417,2057,13,K5104
1300,2276,13,C236
696,219,13,D1713
1032,2168,13,C186
1735,447,13,C181
451,417,13,D7183
1940,1974,13,Z602
889,36,13,K5183
164,2173,13,C125
1032,2336,13,C163
138,2419,13,C162
1092,2066,13,S7857
1687,296,13,K5145
2152,1696,13,G2769
293,1387,13,C2711
1353,125,13,D6601
1922,2191,14,G2253
17,630,14,C1025
1062,236,14,G7588
1717,1549,14,D7072
388,684,14,G7925
781,1418,14,G2670
343,1097,14,G305
1289,1253,14,D3235
849,1858,14,G2256
1760,867,14,G5572
1591,1593,14,D2689
1058,1057,14,T6613
1377,644,14,D7768
1375,338,14,S6858
1580,118,14,G1590
478,733,14,K9720
1877,1910,14,C6313
180,1632,14,G9769
2141,1802,14,G1085
969,1581,14,K7054
1893,1009,14,D2684
2090,2375,14,K7093
1748,2064,14,G7364
1898,256,14,D7757
126,1451,14,S911
1007,2255,14,D6624
39,322,14,G7477
709,714,14,C380
287,314,14,Z4184
2,5,14,S110
1920,857,14,G2831
1280,1653,14,D7742
1129,1542,14,C389
2050,992,14,G7417
768,1284,14,D3066
11,891,14,G7434
113,1869,14,G2988
1407,1775,14,C6031
992,1495,14,G1466
467,544,14,G7608
1494,774,14,G7937
1306,2009,14,D9618
506,995,14,G7608
2267,1072,14,G1709
804,268,14,C6131
1665,1701,14,G7416
1844,2074,14,D7755
592,996,14,G956
2086,2094,14,D6074
2097,1646,14,G7932
814,803,14,C6066
25,336,14,D3233
865,213,14,G1608
1226,1165,14,D2581
706,964,14,D9811
238,838,14,C6607
2192,230,14,D315
82,1147,14,C161
1174,1064,14,D2572
770,2213,14,G8262
961,1062,14,G8262
1297,921,14,G1763
838,226,14,C6621
1342,429,14,G2125
454,1064,14,D2571
1583,863,14,D6581
1376,1443,14,K5203
1816,979,14,D5798
785,1291,14,K5184
2262,462,14,D2582
919,726,14,D5796
300,1257,14,G2293
2152,2306,14,G2746
1343,2163,14,G4762
762,722,14,K245
342,2218,14,C6827
221,1846,14,D9857
383,221,14,D9857
1357,334,14,G1099
100,165,14,K5185
891,1695,14,G7391
2064,953,14,G7486
1152,1322,14,G1770
2348,2340,14,T8010
590,759,14,C6362
7,1510,14,C6408
1182,1670,14,G1532
317,655,14,C6352
878,602,14,G842
1362,1824,14,K2084
760,1291,14,K5179
2054,1123,14,D3235
332,92,14,K7118
889,785,14,K5182
1556,1515,14,C187
38,887,14,G1742
28,364,14,C5893
307,1274,14,G1709
2308,494,14,D2803
1559,409,14,K2386
811,1866,14,G5396
1426,2264,14,D6505
464,761,14,S602
1924,1897,14,G440
299,236,14,G8251
1482,601,14,G2886
1708,562,14,G2207
1682,2286,14,K1092
1438,283,14,G722
134,519,14,C2576
35,1031,14,K2052
2024,2280,14,K2286
300,319,14,G2282
2301,1420,14,C244
1637,1036,14,G7647
2321,1524,14,K269
1558,834,14,D6158
28,1137,14,C5856
170,364,14,C5828
88,90,14,D2775
910,753,14,D3161
1718,2040,14,D2773
2416,2302,14,K2386
128,164,14,G294
395,918,14,G722
1144,1208,14,K9659
2004,922,14,D9482
2324,2344,14,D2763
2119,2027,14,G7063
33,1934,14,C7697
2157,1852,14,C7685
35,36,14,K339
1911,1209,14,G2024
1993,316,14,D856
1894,1927,14,D3685
2157,1359,14,C7668
1313,1934,14,C7664
873,2240,14,G6019
942,873,14,G6019
640,872,14,K1303
2157,522,14,C7737
74,1184,14,K7807
1715,247,14,C7487
1350,2104,14,C7483
757,1849,14,G8779
1191,1851,14,D3680
404,1503,14,K1282
736,949,14,G3672
1673,1483,14,C756
2145,1196,14,D16
70,69,14,D1672
716,2317,14,D8744
1876,1729,14,D8744
594,67,14,D8398
787,786,14,G1293
1913,1303,14,K458
1851,1218,14,D3730
2327,2352,14,C879
2295,1628,14,C8216
631,1945,14,K8527
2293,257,14,C7124
1487,1726,14,C7204
1832,2259,14,C7204
56,87,14,G9326
2171,1643,14,K7138
1104,1991,14,C6955
2032,1250,14,G2082
725,2386,14,K7158
2223,2368,14,K7154
2152,2137,14,K8726
1640,2202,14,K7256
587,2362,14,K383
436,1202,14,D7937
449,2153,15,K609
295,2229,15,K8714
1180,1149,15,G2774
1644,2200,15,K5103
2252,1778,15,D3590
311,2106,15,K412
410,2159,15,K890
108,963,15,G3471
1331,2300,15,D681
964,1038,15,D8525
1231,1078,15,D3135
2036,633,15,G8332
2330,995,15,G2389
1173,1213,15,D8524
1433,1604,15,G2389
71,892,15,K890
1173,1588,15,D8521
962,1216,15,K5135
1128,131,15,G3451
923,1827,15,G3288
207,321,15,D3135
1807,514,15,G7764
399,1383,15,G8296
113,1543,15,G3473
37,34,15,D6917
23,1336,15,G4555
1618,548,15,D712
2136,1774,15,G2755
188,89,15,G3474
1582,2071,15,K386
1395,1085,15,K457
659,677,15,G7621
655,1918,15,G2277
2195,1448,15,G8391
255,491,15,G2757
